#,stall,dish,filename,image_prompt
1,KopeBurger,The Spicy One,burger-the-spicy-one.jpg,Spicy crispy fried chicken thigh burger with mayo and lettuce in a sesame bun.
2,KopeBurger,Double Cheese KopeBurger,burger-double-cheese-kopeburger.jpg,Double beef patty cheeseburger with two melted cheese slices in a sesame bun.
3,KopeBurger,Fish Burger,burger-fish-burger.jpg,Fish fillet burger with tartar sauce and a slice of cheese in a soft bun.
4,KopeBurger,Plant Patty Burger,burger-plant-patty-burger.jpg,Plant-based veggie patty burger with lettuce and tomato in a bun.
5,KopeBurger,Fries,burger-fries.jpg,A portion of golden crispy french fries.
6,KopeBurger,Nuggets (9 pcs),burger-nuggets.jpg,Nine golden chicken nuggets with a small cup of curry dipping sauce.
7,KopeBurger,Hash Brown,burger-hash-brown.jpg,A single golden crispy oval hash brown patty.
8,KopeBurger,Sundae,burger-sundae.jpg,A soft-serve vanilla ice cream sundae in a cup with chocolate sauce.
9,KopeBurger,Apple Pie,burger-apple-pie.jpg,"A fried apple pie pastry pocket, golden and crispy."
10,KopeBurger,Milo Shake,burger-milo-shake.jpg,A Milo chocolate-malt milkshake in a cup.
11,Uncle Seng's Kopitiam,Signature Chicken Rice (Steamed),seng-signature-chicken-rice.jpg,"Hainanese chicken rice — slices of poached white chicken on a plate with fragrant oily rice and cucumber, small dishes of chilli and dark soy sauce."
12,Uncle Seng's Kopitiam,Nasi Lemak Special,seng-nasi-lemak-special.jpg,"Nasi lemak — coconut rice on a banana leaf with red sambal, fried anchovies, roasted peanuts, a fried egg and cucumber slices."
13,Uncle Seng's Kopitiam,Laksa (Extra Cockles),seng-laksa.jpg,"Laksa — thick rice noodles in a rich orange coconut curry gravy, topped with prawns, cockles, tau pok and fishcake, garnished with laksa leaf."
14,Uncle Seng's Kopitiam,Char Kway Teow,seng-char-kway-teow.jpg,"Char kway teow — stir-fried flat rice noodles in dark soy sauce with prawns, Chinese sausage, bean sprouts, egg and cockles, smoky wok-fried."
15,Uncle Seng's Kopitiam,Fried Hokkien Mee,seng-fried-hokkien-mee.jpg,"Singapore Hokkien mee — yellow noodles and rice vermicelli braised in prawn stock with prawns, squid and egg, a side of sambal chilli and lime."
16,Uncle Seng's Kopitiam,Wanton Mee,seng-wanton-mee.jpg,"Wanton mee — dry egg noodles with slices of char siu barbecue pork, wanton dumplings and leafy greens, tossed in chilli sauce."
